    PID CMD
    835 avahi-daemon: chroot helper
    772 avahi-daemon: running [osc.local]
   2813 bash
     20 [cpuhp/0]
     21 [cpuhp/1]
    773 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
     55 [ecryptfs-kthread]
   1983 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   1861 gdm-session-worker [pam/gdm-password]
  10647 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
     19 [idle_inject/0]
     22 [idle_inject/1]
     44 [irq/9-acpi]
    302 [jbd2/dm-0-8]
    516 [jbd2/sda2-8]
     32 [kauditd]
     37 [kcompactd0]
     29 [kdevtmpfs]
     40 [khugepaged]
     33 [khungtaskd]
     38 [ksmd]
     16 [ksoftirqd/0]
     24 [ksoftirqd/1]
     54 [kswapd0]
      2 [kthreadd]
  10523 [kworker/0:0-events]
     10 [kworker/0:0H-kblockd]
  10158 [kworker/0:1-mm_percpu_wq]
  10600 [kworker/0:2]
    496 [kworker/0:2H-kblockd]
  10534 [kworker/1:0]
     26 [kworker/1:0H-events_highpri]
     39 [kworker/1:1-events]
     53 [kworker/1:1H-kblockd]
     57 [kworker/R-acpi_]
     46 [kworker/R-ata_s]
     43 [kworker/R-blkcg]
     91 [kworker/R-charg]
    668 [kworker/R-crypt]
     50 [kworker/R-devfr]
     49 [kworker/R-edac-]
    303 [kworker/R-ext4-]
    517 [kworker/R-ext4-]
     30 [kworker/R-inet_]
     66 [kworker/R-ipv6_]
     42 [kworker/R-kbloc]
    263 [kworker/R-kdmfl]
     41 [kworker/R-kinte]
     74 [kworker/R-kstrp]
     56 [kworker/R-kthro]
     47 [kworker/R-md]
     48 [kworker/R-md_bi]
     65 [kworker/R-mld]
     12 [kworker/R-mm_pe]
      7 [kworker/R-netns]
      4 [kworker/R-rcu_g]
      5 [kworker/R-rcu_p]
     60 [kworker/R-scsi_]
     62 [kworker/R-scsi_]
    143 [kworker/R-scsi_]
    145 [kworker/R-scsi_]
    147 [kworker/R-scsi_]
    150 [kworker/R-scsi_]
    152 [kworker/R-scsi_]
